# author: sean@Seans-MacBook-Pro.local
# date: 2025/03/10 12:30:11 UTC
# version: obztak v0+unknown
HEX,RA,DEC,FILTER,EXPTIME,TILING,PRIORITY,DATE,AIRMASS,SLEW,MOONANGLE,HOURANGLE,PROGRAM
60,242.0740,20.3990,i,90.0000,9,9,,-1.0000,-1.0000,-1.0000,-1.0000,sirenas-bear
60,242.0740,20.3990,r,90.0000,9,9,,-1.0000,-1.0000,-1.0000,-1.0000,sirenas-bear
60,242.0740,20.3990,z,90.0000,8,8,,-1.0000,-1.0000,-1.0000,-1.0000,sirenas-bear
61,240.6650,19.3240,g,90.0000,8,8,,-1.0000,-1.0000,-1.0000,-1.0000,sirenas-bear
61,240.6650,19.3240,i,90.0000,9,9,,-1.0000,-1.0000,-1.0000,-1.0000,sirenas-bear
61,240.6650,19.3240,r,90.0000,9,9,,-1.0000,-1.0000,-1.0000,-1.0000,sirenas-bear
61,240.6650,19.3240,z,90.0000,8,8,,-1.0000,-1.0000,-1.0000,-1.0000,sirenas-bear
62,239.2690,18.2200,g,90.0000,8,8,,-1.0000,-1.0000,-1.0000,-1.0000,sirenas-bear
62,239.2690,18.2200,i,90.0000,9,9,,-1.0000,-1.0000,-1.0000,-1.0000,sirenas-bear
62,239.2690,18.2200,r,90.0000,9,9,,-1.0000,-1.0000,-1.0000,-1.0000,sirenas-bear
62,239.2690,18.2200,z,90.0000,8,8,,-1.0000,-1.0000,-1.0000,-1.0000,sirenas-bear
63,237.8870,17.0810,g,90.0000,8,8,,-1.0000,-1.0000,-1.0000,-1.0000,sirenas-bear
63,237.8870,17.0810,i,90.0000,9,9,,-1.0000,-1.0000,-1.0000,-1.0000,sirenas-bear
63,237.8870,17.0810,r,90.0000,9,9,,-1.0000,-1.0000,-1.0000,-1.0000,sirenas-bear
63,237.8870,17.0810,z,90.0000,8,8,,-1.0000,-1.0000,-1.0000,-1.0000,sirenas-bear
64,236.5190,15.9030,g,90.0000,8,8,,-1.0000,-1.0000,-1.0000,-1.0000,sirenas-bear
64,236.5190,15.9030,i,90.0000,9,9,,-1.0000,-1.0000,-1.0000,-1.0000,sirenas-bear
64,236.5190,15.9030,r,90.0000,9,9,,-1.0000,-1.0000,-1.0000,-1.0000,sirenas-bear
64,236.5190,15.9030,z,90.0000,8,8,,-1.0000,-1.0000,-1.0000,-1.0000,sirenas-bear
71,247.4380,26.0910,g,90.0000,8,8,,-1.0000,-1.0000,-1.0000,-1.0000,sirenas-bear
71,247.4380,26.0910,i,90.0000,9,9,,-1.0000,-1.0000,-1.0000,-1.0000,sirenas-bear
71,247.4380,26.0910,r,90.0000,9,9,,-1.0000,-1.0000,-1.0000,-1.0000,sirenas-bear
71,247.4380,26.0910,z,90.0000,8,8,,-1.0000,-1.0000,-1.0000,-1.0000,sirenas-bear
72,245.9420,25.0960,g,90.0000,8,8,,-1.0000,-1.0000,-1.0000,-1.0000,sirenas-bear
72,245.9420,25.0960,i,90.0000,9,9,,-1.0000,-1.0000,-1.0000,-1.0000,sirenas-bear
72,245.9420,25.0960,r,90.0000,9,9,,-1.0000,-1.0000,-1.0000,-1.0000,sirenas-bear
72,245.9420,25.0960,z,90.0000,8,8,,-1.0000,-1.0000,-1.0000,-1.0000,sirenas-bear
73,244.4690,24.0810,g,90.0000,8,8,,-1.0000,-1.0000,-1.0000,-1.0000,sirenas-bear
73,244.4690,24.0810,i,90.0000,9,9,,-1.0000,-1.0000,-1.0000,-1.0000,sirenas-bear
73,244.4690,24.0810,r,90.0000,9,9,,-1.0000,-1.0000,-1.0000,-1.0000,sirenas-bear
73,244.4690,24.0810,z,90.0000,8,8,,-1.0000,-1.0000,-1.0000,-1.0000,sirenas-bear
74,243.0150,23.0430,g,90.0000,8,8,,-1.0000,-1.0000,-1.0000,-1.0000,sirenas-bear
74,243.0150,23.0430,i,90.0000,9,9,,-1.0000,-1.0000,-1.0000,-1.0000,sirenas-bear
74,243.0150,23.0430,r,90.0000,9,9,,-1.0000,-1.0000,-1.0000,-1.0000,sirenas-bear
74,243.0150,23.0430,z,90.0000,8,8,,-1.0000,-1.0000,-1.0000,-1.0000,sirenas-bear
75,241.5800,21.9810,g,90.0000,8,8,,-1.0000,-1.0000,-1.0000,-1.0000,sirenas-bear
75,241.5800,21.9810,i,90.0000,9,9,,-1.0000,-1.0000,-1.0000,-1.0000,sirenas-bear
75,241.5800,21.9810,r,90.0000,9,9,,-1.0000,-1.0000,-1.0000,-1.0000,sirenas-bear
75,241.5800,21.9810,z,90.0000,8,8,,-1.0000,-1.0000,-1.0000,-1.0000,sirenas-bear
76,240.1600,20.8910,g,90.0000,8,8,,-1.0000,-1.0000,-1.0000,-1.0000,sirenas-bear
76,240.1600,20.8910,i,90.0000,9,9,,-1.0000,-1.0000,-1.0000,-1.0000,sirenas-bear
76,240.1600,20.8910,r,90.0000,9,9,,-1.0000,-1.0000,-1.0000,-1.0000,sirenas-bear
76,240.1600,20.8910,z,90.0000,8,8,,-1.0000,-1.0000,-1.0000,-1.0000,sirenas-bear
77,238.7570,19.7720,g,90.0000,8,8,,-1.0000,-1.0000,-1.0000,-1.0000,sirenas-bear
77,238.7570,19.7720,i,90.0000,9,9,,-1.0000,-1.0000,-1.0000,-1.0000,sirenas-bear
77,238.7570,19.7720,r,90.0000,9,9,,-1.0000,-1.0000,-1.0000,-1.0000,sirenas-bear
77,238.7570,19.7720,z,90.0000,8,8,,-1.0000,-1.0000,-1.0000,-1.0000,sirenas-bear
78,237.3690,18.6190,g,90.0000,8,8,,-1.0000,-1.0000,-1.0000,-1.0000,sirenas-bear
78,237.3690,18.6190,i,90.0000,9,9,,-1.0000,-1.0000,-1.0000,-1.0000,sirenas-bear
78,237.3690,18.6190,r,90.0000,9,9,,-1.0000,-1.0000,-1.0000,-1.0000,sirenas-bear
78,237.3690,18.6190,z,90.0000,8,8,,-1.0000,-1.0000,-1.0000,-1.0000,sirenas-bear
79,235.9980,17.4300,g,90.0000,8,8,,-1.0000,-1.0000,-1.0000,-1.0000,sirenas-bear
79,235.9980,17.4300,i,90.0000,9,9,,-1.0000,-1.0000,-1.0000,-1.0000,sirenas-bear
79,235.9980,17.4300,r,90.0000,9,9,,-1.0000,-1.0000,-1.0000,-1.0000,sirenas-bear
79,235.9980,17.4300,z,90.0000,8,8,,-1.0000,-1.0000,-1.0000,-1.0000,sirenas-bear
80,234.6450,16.2010,g,90.0000,8,8,,-1.0000,-1.0000,-1.0000,-1.0000,sirenas-bear
80,234.6450,16.2010,i,90.0000,9,9,,-1.0000,-1.0000,-1.0000,-1.0000,sirenas-bear
80,234.6450,16.2010,r,90.0000,9,9,,-1.0000,-1.0000,-1.0000,-1.0000,sirenas-bear
80,234.6450,16.2010,z,90.0000,8,8,,-1.0000,-1.0000,-1.0000,-1.0000,sirenas-bear
86,248.5290,28.6990,g,90.0000,8,8,,-1.0000,-1.0000,-1.0000,-1.0000,sirenas-bear
86,248.5290,28.6990,i,90.0000,9,9,,-1.0000,-1.0000,-1.0000,-1.0000,sirenas-bear
86,248.5290,28.6990,r,90.0000,9,9,,-1.0000,-1.0000,-1.0000,-1.0000,sirenas-bear
86,248.5290,28.6990,z,90.0000,8,8,,-1.0000,-1.0000,-1.0000,-1.0000,sirenas-bear
87,246.9890,27.7160,g,90.0000,8,8,,-1.0000,-1.0000,-1.0000,-1.0000,sirenas-bear
87,246.9890,27.7160,i,90.0000,9,9,,-1.0000,-1.0000,-1.0000,-1.0000,sirenas-bear
87,246.9890,27.7160,r,90.0000,9,9,,-1.0000,-1.0000,-1.0000,-1.0000,sirenas-bear
87,246.9890,27.7160,z,90.0000,8,8,,-1.0000,-1.0000,-1.0000,-1.0000,sirenas-bear
88,245.4760,26.7120,g,90.0000,8,8,,-1.0000,-1.0000,-1.0000,-1.0000,sirenas-bear
88,245.4760,26.7120,i,90.0000,9,9,,-1.0000,-1.0000,-1.0000,-1.0000,sirenas-bear
88,245.4760,26.7120,r,90.0000,9,9,,-1.0000,-1.0000,-1.0000,-1.0000,sirenas-bear
88,245.4760,26.7120,z,90.0000,8,8,,-1.0000,-1.0000,-1.0000,-1.0000,sirenas-bear
89,243.9870,25.6860,g,90.0000,8,8,,-1.0000,-1.0000,-1.0000,-1.0000,sirenas-bear
89,243.9870,25.6860,i,90.0000,9,9,,-1.0000,-1.0000,-1.0000,-1.0000,sirenas-bear
89,243.9870,25.6860,r,90.0000,9,9,,-1.0000,-1.0000,-1.0000,-1.0000,sirenas-bear
89,243.9870,25.6860,z,90.0000,8,8,,-1.0000,-1.0000,-1.0000,-1.0000,sirenas-bear
90,242.5200,24.6370,g,90.0000,8,8,,-1.0000,-1.0000,-1.0000,-1.0000,sirenas-bear
90,242.5200,24.6370,i,90.0000,9,9,,-1.0000,-1.0000,-1.0000,-1.0000,sirenas-bear
90,242.5200,24.6370,r,90.0000,9,9,,-1.0000,-1.0000,-1.0000,-1.0000,sirenas-bear
90,242.5200,24.6370,z,90.0000,8,8,,-1.0000,-1.0000,-1.0000,-1.0000,sirenas-bear
91,241.0730,23.5620,g,90.0000,8,8,,-1.0000,-1.0000,-1.0000,-1.0000,sirenas-bear
91,241.0730,23.5620,i,90.0000,9,9,,-1.0000,-1.0000,-1.0000,-1.0000,sirenas-bear
91,241.0730,23.5620,r,90.0000,9,9,,-1.0000,-1.0000,-1.0000,-1.0000,sirenas-bear
91,241.0730,23.5620,z,90.0000,8,8,,-1.0000,-1.0000,-1.0000,-1.0000,sirenas-bear
92,239.6450,22.4590,g,90.0000,8,8,,-1.0000,-1.0000,-1.0000,-1.0000,sirenas-bear
92,239.6450,22.4590,i,90.0000,9,9,,-1.0000,-1.0000,-1.0000,-1.0000,sirenas-bear
92,239.6450,22.4590,r,90.0000,9,9,,-1.0000,-1.0000,-1.0000,-1.0000,sirenas-bear
92,239.6450,22.4590,z,90.0000,8,8,,-1.0000,-1.0000,-1.0000,-1.0000,sirenas-bear
93,238.2340,21.3260,g,90.0000,8,8,,-1.0000,-1.0000,-1.0000,-1.0000,sirenas-bear
93,238.2340,21.3260,i,90.0000,9,9,,-1.0000,-1.0000,-1.0000,-1.0000,sirenas-bear
93,238.2340,21.3260,r,90.0000,9,9,,-1.0000,-1.0000,-1.0000,-1.0000,sirenas-bear
93,238.2340,21.3260,z,90.0000,8,8,,-1.0000,-1.0000,-1.0000,-1.0000,sirenas-bear
94,236.8410,20.1620,g,90.0000,8,8,,-1.0000,-1.0000,-1.0000,-1.0000,sirenas-bear
94,236.8410,20.1620,i,90.0000,9,9,,-1.0000,-1.0000,-1.0000,-1.0000,sirenas-bear
94,236.8410,20.1620,r,90.0000,9,9,,-1.0000,-1.0000,-1.0000,-1.0000,sirenas-bear
94,236.8410,20.1620,z,90.0000,8,8,,-1.0000,-1.0000,-1.0000,-1.0000,sirenas-bear
95,235.4670,18.9620,g,90.0000,8,8,,-1.0000,-1.0000,-1.0000,-1.0000,sirenas-bear
95,235.4670,18.9620,i,90.0000,9,9,,-1.0000,-1.0000,-1.0000,-1.0000,sirenas-bear
95,235.4670,18.9620,r,90.0000,9,9,,-1.0000,-1.0000,-1.0000,-1.0000,sirenas-bear
95,235.4670,18.9620,z,90.0000,8,8,,-1.0000,-1.0000,-1.0000,-1.0000,sirenas-bear
96,234.1120,17.7240,g,90.0000,8,8,,-1.0000,-1.0000,-1.0000,-1.0000,sirenas-bear
96,234.1120,17.7240,i,90.0000,9,9,,-1.0000,-1.0000,-1.0000,-1.0000,sirenas-bear
96,234.1120,17.7240,r,90.0000,9,9,,-1.0000,-1.0000,-1.0000,-1.0000,sirenas-bear
96,234.1120,17.7240,z,90.0000,8,8,,-1.0000,-1.0000,-1.0000,-1.0000,sirenas-bear
97,232.7760,16.4550,g,90.0000,8,8,,-1.0000,-1.0000,-1.0000,-1.0000,sirenas-bear
97,232.7760,16.4550,i,90.0000,9,9,,-1.0000,-1.0000,-1.0000,-1.0000,sirenas-bear
97,232.7760,16.4550,r,90.0000,9,9,,-1.0000,-1.0000,-1.0000,-1.0000,sirenas-bear
97,232.7760,16.4550,z,90.0000,8,8,,-1.0000,-1.0000,-1.0000,-1.0000,sirenas-bear
104,246.5260,29.3390,g,90.0000,8,8,,-1.0000,-1.0000,-1.0000,-1.0000,sirenas-bear
104,246.5260,29.3390,i,90.0000,9,9,,-1.0000,-1.0000,-1.0000,-1.0000,sirenas-bear
104,246.5260,29.3390,r,90.0000,9,9,,-1.0000,-1.0000,-1.0000,-1.0000,sirenas-bear
104,246.5260,29.3390,z,90.0000,8,8,,-1.0000,-1.0000,-1.0000,-1.0000,sirenas-bear
105,244.9960,28.3270,g,90.0000,8,8,,-1.0000,-1.0000,-1.0000,-1.0000,sirenas-bear
105,244.9960,28.3270,i,90.0000,9,9,,-1.0000,-1.0000,-1.0000,-1.0000,sirenas-bear
105,244.9960,28.3270,r,90.0000,9,9,,-1.0000,-1.0000,-1.0000,-1.0000,sirenas-bear
105,244.9960,28.3270,z,90.0000,8,8,,-1.0000,-1.0000,-1.0000,-1.0000,sirenas-bear
106,243.4920,27.2920,g,90.0000,8,8,,-1.0000,-1.0000,-1.0000,-1.0000,sirenas-bear
106,243.4920,27.2920,i,90.0000,9,9,,-1.0000,-1.0000,-1.0000,-1.0000,sirenas-bear
106,243.4920,27.2920,r,90.0000,9,9,,-1.0000,-1.0000,-1.0000,-1.0000,sirenas-bear
106,243.4920,27.2920,z,90.0000,8,8,,-1.0000,-1.0000,-1.0000,-1.0000,sirenas-bear
107,242.0120,26.2310,g,90.0000,8,8,,-1.0000,-1.0000,-1.0000,-1.0000,sirenas-bear
107,242.0120,26.2310,i,90.0000,9,9,,-1.0000,-1.0000,-1.0000,-1.0000,sirenas-bear
107,242.0120,26.2310,r,90.0000,9,9,,-1.0000,-1.0000,-1.0000,-1.0000,sirenas-bear
107,242.0120,26.2310,z,90.0000,8,8,,-1.0000,-1.0000,-1.0000,-1.0000,sirenas-bear
108,240.5540,25.1450,g,90.0000,8,8,,-1.0000,-1.0000,-1.0000,-1.0000,sirenas-bear
108,240.5540,25.1450,i,90.0000,9,9,,-1.0000,-1.0000,-1.0000,-1.0000,sirenas-bear
108,240.5540,25.1450,r,90.0000,9,9,,-1.0000,-1.0000,-1.0000,-1.0000,sirenas-bear
108,240.5540,25.1450,z,90.0000,8,8,,-1.0000,-1.0000,-1.0000,-1.0000,sirenas-bear
109,239.1170,24.0300,g,90.0000,8,8,,-1.0000,-1.0000,-1.0000,-1.0000,sirenas-bear
109,239.1170,24.0300,i,90.0000,9,9,,-1.0000,-1.0000,-1.0000,-1.0000,sirenas-bear
109,239.1170,24.0300,r,90.0000,9,9,,-1.0000,-1.0000,-1.0000,-1.0000,sirenas-bear
109,239.1170,24.0300,z,90.0000,8,8,,-1.0000,-1.0000,-1.0000,-1.0000,sirenas-bear
110,237.7000,22.8850,g,90.0000,8,8,,-1.0000,-1.0000,-1.0000,-1.0000,sirenas-bear
110,237.7000,22.8850,i,90.0000,9,9,,-1.0000,-1.0000,-1.0000,-1.0000,sirenas-bear
110,237.7000,22.8850,r,90.0000,9,9,,-1.0000,-1.0000,-1.0000,-1.0000,sirenas-bear
110,237.7000,22.8850,z,90.0000,8,8,,-1.0000,-1.0000,-1.0000,-1.0000,sirenas-bear
111,236.3020,21.7090,g,90.0000,8,8,,-1.0000,-1.0000,-1.0000,-1.0000,sirenas-bear
111,236.3020,21.7090,i,90.0000,9,9,,-1.0000,-1.0000,-1.0000,-1.0000,sirenas-bear
111,236.3020,21.7090,r,90.0000,9,9,,-1.0000,-1.0000,-1.0000,-1.0000,sirenas-bear
111,236.3020,21.7090,z,90.0000,8,8,,-1.0000,-1.0000,-1.0000,-1.0000,sirenas-bear
112,234.9240,20.4990,g,90.0000,8,8,,-1.0000,-1.0000,-1.0000,-1.0000,sirenas-bear
112,234.9240,20.4990,i,90.0000,9,9,,-1.0000,-1.0000,-1.0000,-1.0000,sirenas-bear
112,234.9240,20.4990,r,90.0000,9,9,,-1.0000,-1.0000,-1.0000,-1.0000,sirenas-bear
112,234.9240,20.4990,z,90.0000,8,8,,-1.0000,-1.0000,-1.0000,-1.0000,sirenas-bear
113,233.5670,19.2530,g,90.0000,8,8,,-1.0000,-1.0000,-1.0000,-1.0000,sirenas-bear
113,233.5670,19.2530,i,90.0000,9,9,,-1.0000,-1.0000,-1.0000,-1.0000,sirenas-bear
113,233.5670,19.2530,r,90.0000,9,9,,-1.0000,-1.0000,-1.0000,-1.0000,sirenas-bear
113,233.5670,19.2530,z,90.0000,8,8,,-1.0000,-1.0000,-1.0000,-1.0000,sirenas-bear
114,232.2300,17.9780,g,90.0000,8,8,,-1.0000,-1.0000,-1.0000,-1.0000,sirenas-bear
114,232.2300,17.9780,i,90.0000,9,9,,-1.0000,-1.0000,-1.0000,-1.0000,sirenas-bear
114,232.2300,17.9780,r,90.0000,9,9,,-1.0000,-1.0000,-1.0000,-1.0000,sirenas-bear
114,232.2300,17.9780,z,90.0000,8,8,,-1.0000,-1.0000,-1.0000,-1.0000,sirenas-bear
124,242.9810,28.8990,g,90.0000,8,8,,-1.0000,-1.0000,-1.0000,-1.0000,sirenas-bear
124,242.9810,28.8990,i,90.0000,9,9,,-1.0000,-1.0000,-1.0000,-1.0000,sirenas-bear
124,242.9810,28.8990,r,90.0000,9,9,,-1.0000,-1.0000,-1.0000,-1.0000,sirenas-bear
124,242.9810,28.8990,z,90.0000,8,8,,-1.0000,-1.0000,-1.0000,-1.0000,sirenas-bear
125,241.4890,27.8290,g,90.0000,8,8,,-1.0000,-1.0000,-1.0000,-1.0000,sirenas-bear
125,241.4890,27.8290,i,90.0000,9,9,,-1.0000,-1.0000,-1.0000,-1.0000,sirenas-bear
125,241.4890,27.8290,r,90.0000,9,9,,-1.0000,-1.0000,-1.0000,-1.0000,sirenas-bear
125,241.4890,27.8290,z,90.0000,8,8,,-1.0000,-1.0000,-1.0000,-1.0000,sirenas-bear
126,240.0200,26.7310,g,90.0000,8,8,,-1.0000,-1.0000,-1.0000,-1.0000,sirenas-bear
126,240.0200,26.7310,i,90.0000,9,9,,-1.0000,-1.0000,-1.0000,-1.0000,sirenas-bear
126,240.0200,26.7310,r,90.0000,9,9,,-1.0000,-1.0000,-1.0000,-1.0000,sirenas-bear
126,240.0200,26.7310,z,90.0000,8,8,,-1.0000,-1.0000,-1.0000,-1.0000,sirenas-bear
127,238.5750,25.6050,g,90.0000,8,8,,-1.0000,-1.0000,-1.0000,-1.0000,sirenas-bear
127,238.5750,25.6050,i,90.0000,9,9,,-1.0000,-1.0000,-1.0000,-1.0000,sirenas-bear
127,238.5750,25.6050,r,90.0000,9,9,,-1.0000,-1.0000,-1.0000,-1.0000,sirenas-bear
127,238.5750,25.6050,z,90.0000,8,8,,-1.0000,-1.0000,-1.0000,-1.0000,sirenas-bear
128,237.1520,24.4500,g,90.0000,8,8,,-1.0000,-1.0000,-1.0000,-1.0000,sirenas-bear
128,237.1520,24.4500,i,90.0000,9,9,,-1.0000,-1.0000,-1.0000,-1.0000,sirenas-bear
128,237.1520,24.4500,r,90.0000,9,9,,-1.0000,-1.0000,-1.0000,-1.0000,sirenas-bear
128,237.1520,24.4500,z,90.0000,8,8,,-1.0000,-1.0000,-1.0000,-1.0000,sirenas-bear
129,235.7500,23.2630,g,90.0000,8,8,,-1.0000,-1.0000,-1.0000,-1.0000,sirenas-bear
129,235.7500,23.2630,i,90.0000,9,9,,-1.0000,-1.0000,-1.0000,-1.0000,sirenas-bear
129,235.7500,23.2630,r,90.0000,9,9,,-1.0000,-1.0000,-1.0000,-1.0000,sirenas-bear
129,235.7500,23.2630,z,90.0000,8,8,,-1.0000,-1.0000,-1.0000,-1.0000,sirenas-bear
130,234.3690,22.0430,g,90.0000,8,8,,-1.0000,-1.0000,-1.0000,-1.0000,sirenas-bear
130,234.3690,22.0430,i,90.0000,9,9,,-1.0000,-1.0000,-1.0000,-1.0000,sirenas-bear
130,234.3690,22.0430,r,90.0000,9,9,,-1.0000,-1.0000,-1.0000,-1.0000,sirenas-bear
130,234.3690,22.0430,z,90.0000,8,8,,-1.0000,-1.0000,-1.0000,-1.0000,sirenas-bear
131,233.0110,20.7890,g,90.0000,8,8,,-1.0000,-1.0000,-1.0000,-1.0000,sirenas-bear
131,233.0110,20.7890,i,90.0000,9,9,,-1.0000,-1.0000,-1.0000,-1.0000,sirenas-bear
131,233.0110,20.7890,r,90.0000,9,9,,-1.0000,-1.0000,-1.0000,-1.0000,sirenas-bear
131,233.0110,20.7890,z,90.0000,8,8,,-1.0000,-1.0000,-1.0000,-1.0000,sirenas-bear
145,240.9490,29.4310,g,90.0000,8,8,,-1.0000,-1.0000,-1.0000,-1.0000,sirenas-bear
145,240.9490,29.4310,i,90.0000,9,9,,-1.0000,-1.0000,-1.0000,-1.0000,sirenas-bear
145,240.9490,29.4310,r,90.0000,9,9,,-1.0000,-1.0000,-1.0000,-1.0000,sirenas-bear
145,240.9490,29.4310,z,90.0000,8,8,,-1.0000,-1.0000,-1.0000,-1.0000,sirenas-bear
146,239.4710,28.3240,g,90.0000,8,8,,-1.0000,-1.0000,-1.0000,-1.0000,sirenas-bear
146,239.4710,28.3240,i,90.0000,9,9,,-1.0000,-1.0000,-1.0000,-1.0000,sirenas-bear
146,239.4710,28.3240,r,90.0000,9,9,,-1.0000,-1.0000,-1.0000,-1.0000,sirenas-bear
146,239.4710,28.3240,z,90.0000,8,8,,-1.0000,-1.0000,-1.0000,-1.0000,sirenas-bear
147,238.0180,27.1870,g,90.0000,8,8,,-1.0000,-1.0000,-1.0000,-1.0000,sirenas-bear
147,238.0180,27.1870,i,90.0000,9,9,,-1.0000,-1.0000,-1.0000,-1.0000,sirenas-bear
147,238.0180,27.1870,r,90.0000,9,9,,-1.0000,-1.0000,-1.0000,-1.0000,sirenas-bear
147,238.0180,27.1870,z,90.0000,8,8,,-1.0000,-1.0000,-1.0000,-1.0000,sirenas-bear
148,236.5890,26.0210,g,90.0000,8,8,,-1.0000,-1.0000,-1.0000,-1.0000,sirenas-bear
148,236.5890,26.0210,i,90.0000,9,9,,-1.0000,-1.0000,-1.0000,-1.0000,sirenas-bear
148,236.5890,26.0210,r,90.0000,9,9,,-1.0000,-1.0000,-1.0000,-1.0000,sirenas-bear
148,236.5890,26.0210,z,90.0000,8,8,,-1.0000,-1.0000,-1.0000,-1.0000,sirenas-bear
149,235.1830,24.8230,g,90.0000,8,8,,-1.0000,-1.0000,-1.0000,-1.0000,sirenas-bear
149,235.1830,24.8230,i,90.0000,9,9,,-1.0000,-1.0000,-1.0000,-1.0000,sirenas-bear
149,235.1830,24.8230,r,90.0000,9,9,,-1.0000,-1.0000,-1.0000,-1.0000,sirenas-bear
149,235.1830,24.8230,z,90.0000,8,8,,-1.0000,-1.0000,-1.0000,-1.0000,sirenas-bear
150,233.7990,23.5940,g,90.0000,8,8,,-1.0000,-1.0000,-1.0000,-1.0000,sirenas-bear
150,233.7990,23.5940,i,90.0000,9,9,,-1.0000,-1.0000,-1.0000,-1.0000,sirenas-bear
150,233.7990,23.5940,r,90.0000,9,9,,-1.0000,-1.0000,-1.0000,-1.0000,sirenas-bear
150,233.7990,23.5940,z,90.0000,8,8,,-1.0000,-1.0000,-1.0000,-1.0000,sirenas-bear
573,300.9800,-8.2940,g,90.0000,9,9,,-1.0000,-1.0000,-1.0000,-1.0000,sirenas-bear
573,300.9800,-8.2940,i,90.0000,9,9,,-1.0000,-1.0000,-1.0000,-1.0000,sirenas-bear
573,300.9800,-8.2940,r,90.0000,9,9,,-1.0000,-1.0000,-1.0000,-1.0000,sirenas-bear
573,300.9800,-8.2940,z,90.0000,9,9,,-1.0000,-1.0000,-1.0000,-1.0000,sirenas-bear
590,303.3080,-10.1510,g,90.0000,9,9,,-1.0000,-1.0000,-1.0000,-1.0000,sirenas-bear
590,303.3080,-10.1510,i,90.0000,9,9,,-1.0000,-1.0000,-1.0000,-1.0000,sirenas-bear
590,303.3080,-10.1510,r,90.0000,9,9,,-1.0000,-1.0000,-1.0000,-1.0000,sirenas-bear
590,303.3080,-10.1510,z,90.0000,9,9,,-1.0000,-1.0000,-1.0000,-1.0000,sirenas-bear
600,303.8100,-11.6580,g,90.0000,9,9,,-1.0000,-1.0000,-1.0000,-1.0000,sirenas-bear
600,303.8100,-11.6580,i,90.0000,9,9,,-1.0000,-1.0000,-1.0000,-1.0000,sirenas-bear
600,303.8100,-11.6580,r,90.0000,9,9,,-1.0000,-1.0000,-1.0000,-1.0000,sirenas-bear
600,303.8100,-11.6580,z,90.0000,9,9,,-1.0000,-1.0000,-1.0000,-1.0000,sirenas-bear
612,304.3170,-13.1680,g,90.0000,9,9,,-1.0000,-1.0000,-1.0000,-1.0000,sirenas-bear
